participant,ID,tsis,score_FS,score_EC,score_PT,score_PD,feedback,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.ba82da2b-8346-46db-9149-4f55d6974baa.txt,4864,307325,"","","","",31779,2349,2018-11-17-14-55,2018-11-17-15-01,6
s.a1a5bdf8-0cbf-4513-bfa2-295c1d23e537.txt,8352,336496,"","","","",20011,2345,2018-11-20-20-57,2018-11-20-21-03,6
s.d5fba384-8477-4ca3-84d8-bf92e278bc44.txt,4242,236372,"","","","","",2645,2018-11-14-12-20,"",""
s.0ad14b31-166b-4930-99fb-9b775a83d80f.txt,6425,438072,"","","","",24972,1186,2018-11-14-20-54,2018-11-14-21-02,8
s.e702ee9e-25f7-4d9f-a087-e1090658743e.txt,4048,253683,"","","","",14518,8499,2018-11-15-09-44,2018-11-15-09-49,5
s.9d73624d-9ca6-448a-b518-5f890d1e445e.txt,5380,308384,"","","","",17376,1560,2018-11-21-09-46,2018-11-21-09-52,6
s.61973b54-2b1d-400b-9089-0ac3e534a29b.txt,14156,158743,"","","","",13105,16512,2018-11-14-13-12,2018-11-14-13-16,4
s.8e9a13eb-a170-4e89-b324-ac3d6261039a.txt,4477,277006,"","","","",12123,2531,2018-11-22-13-45,2018-11-22-13-49,4
s.f9ce0750-c18c-41ef-91ac-5efea8c6a098.txt,5594,241349,"","","","",17162,1883,2018-11-16-11-43,2018-11-16-11-48,5
s.3ee6b78b-93d4-48a1-a610-75cf43b9c477.txt,8938,168810,"","","","",15419,15810,2018-11-20-08-47,2018-11-20-08-51,4
s.8933a609-3248-4886-966f-69d4c245ac64.txt,14464,335528,"","","","","",13635,2018-11-14-14-53,"",""
s.7c21ab06-a668-4404-b8d4-f6dfce2e039e.txt,28434,314421,"","","","",66799,14848,2018-11-14-15-15,2018-11-14-15-22,7
s.a69d4026-fd66-4488-8f8f-e01baf9d06d9.txt,5806,385266,"","","","",18865,1566,2018-11-20-12-45,2018-11-20-12-52,7
s.c97e390c-a58b-4baf-afb7-dbbe78ba7472.txt,3559,457307,"","","","",17428,1713,2018-11-17-13-29,2018-11-17-13-37,8
s.74530958-73a4-46db-99ae-21d2dc8e4f96.txt,7079,275032,"","","","",6439,12496,2018-11-15-11-20,2018-11-15-11-24,4
s.bae7facd-6c1d-44ac-86f4-2ca12b49ef2c.txt,4181,376193,"","","","",20269,4496,2018-11-20-09-40,2018-11-20-09-46,6
s.3ca65494-a6d6-4fc9-b3f7-fc4727914ef9.txt,11755,470657,"","","","",2514790,43314,2018-11-14-17-55,2018-11-14-18-45,50
s.a6ec6a5f-1389-4946-977a-5f3ea0b6a8e7.txt,6315,223895,"","","","",5426,4199,2018-11-15-10-39,2018-11-15-10-43,4
s.1136a50b-8e0d-4c8e-9624-7f7ea569a155.txt,4357,202647,"","","","",28029,2015,2018-11-14-19-35,2018-11-14-19-39,4
s.4945c633-c925-450f-bc4f-7f6189a17a37.txt,7572,332692,"","","","",12302,2762,2018-11-14-21-31,2018-11-14-21-37,6
s.6187af6c-f415-4a5f-9a9b-560bf233fb7b.txt,6217,256959,"","","","",10041,19308,2018-11-22-13-06,2018-11-22-13-11,5
s.e1fb8b34-f5e7-4779-a9c5-d7dff05a233b.txt,7561,317548,"","","","",33293,301770,2018-11-20-20-36,2018-11-20-20-42,6
s.075e0421-5fac-4108-ae75-abc8e65112dc.txt,4649,24262,"","","","",2198,1467,2018-11-14-11-51,2018-11-14-11-52,1
s.d2e5f4c9-3234-40ca-a4f2-03620e1b9cf8.txt,4672,223990,"","","","",24257,2916,2018-11-14-20-07,2018-11-14-20-11,4
s.96e94a5e-41c7-45db-a89d-37f41100be63.txt,5575,260678,"","","","",16449,1300,2018-11-20-08-59,2018-11-20-09-03,4
s.c42e857e-b0f9-4bf3-8231-9c75507aa46b.txt,4666,296846,"","","","",19244,8295,2018-11-15-14-42,2018-11-15-14-47,5
